,ATPR,_id,air_temperature,amount_of_solar_radiation,nodeID,precipitation,relative_humidity,time,wind_direction,wind_speed
130,,597f7e26fb393e001402152d,,,7,,,2017-07-31T18:59:49.000000Z,,0.0
131,,597f7e2dfb393e0014021538,,,7,,,2017-07-31T18:59:56.000000Z,270.0,
132,,597f8065fb393e001402163a,,,7,,97.2,2017-07-31T19:09:22.000000Z,,
133,,597f806afb393e001402163e,26.4,,7,,,2017-07-31T19:09:29.000000Z,,
134,1009.0,597f806efb393e0014021640,,,7,,,2017-07-31T19:09:32.000000Z,,
135,,597f8072fb393e0014021642,,,7,,,2017-07-31T19:09:36.000000Z,,0.0
136,,597f8076fb393e001402164c,,,7,,,2017-07-31T19:09:41.000000Z,270.0,
137,,597f82befb393e0014021762,,,7,,97.4,2017-07-31T19:19:22.000000Z,,
138,,597f82ccfb393e0014021772,26.5,,7,,,2017-07-31T19:19:37.000000Z,,
139,1010.0,597f82d2fb393e0014021778,,,7,,,2017-07-31T19:19:43.000000Z,,
140,,597f82dbfb393e0014021787,,,7,,,2017-07-31T19:19:53.000000Z,,0.0
141,,597f82eafb393e001402179e,,,7,,,2017-07-31T19:20:04.000000Z,270.0,
142,,597f8515fb393e00140218c6,,,7,,96.9,2017-07-31T19:29:22.000000Z,,
143,,597f851bfb393e00140218d1,26.6,,7,,,2017-07-31T19:29:28.000000Z,,
144,1009.0,597f8521fb393e00140218d4,,,7,,,2017-07-31T19:29:34.000000Z,,
145,,597f8525fb393e00140218db,,,7,,,2017-07-31T19:29:39.000000Z,,0.0
146,,597f852afb393e00140218e0,,,7,,,2017-07-31T19:29:44.000000Z,270.0,
147,,597f852ffb393e00140218e7,,,7,0.0,,2017-07-31T19:29:48.000000Z,,
148,,597f8536fb393e00140218f4,,,7,,,2017-07-31T19:29:57.000000Z,,
149,,597f876dfb393e0014021a08,,,7,,97.2,2017-07-31T19:39:22.000000Z,,
150,,597f8773fb393e0014021a12,26.4,,7,,,2017-07-31T19:39:28.000000Z,,
151,1010.0,597f8777fb393e0014021a1c,,,7,,,2017-07-31T19:39:34.000000Z,,
152,,597f877bfb393e0014021a1e,,,7,,,2017-07-31T19:39:37.000000Z,,0.0
153,,597f877efb393e0014021a24,,,7,,,2017-07-31T19:39:41.000000Z,270.0,
154,,597f89c4fb393e0014021b90,,,7,,97.5,2017-07-31T19:49:22.000000Z,,
155,,597f89c8fb393e0014021b96,26.4,,7,,,2017-07-31T19:49:26.000000Z,,
156,1010.0,597f89cdfb393e0014021b9e,,,7,,,2017-07-31T19:49:30.000000Z,,
157,,597f89d1fb393e0014021ba2,,,7,,,2017-07-31T19:49:35.000000Z,,0.0
158,,597f89d4fb393e0014021ba6,,,7,,,2017-07-31T19:49:39.000000Z,270.0,
159,,597f8c1cfb393e0014021cf2,,,7,,97.4,2017-07-31T19:59:22.000000Z,,
160,,597f8c20fb393e0014021cf8,26.4,,7,,,2017-07-31T19:59:26.000000Z,,
161,1010.0,597f8c23fb393e0014021cfd,,,7,,,2017-07-31T19:59:30.000000Z,,
162,,597f8c27fb393e0014021d02,,0.0,7,,,2017-07-31T19:59:34.000000Z,,
163,,597f8c2bfb393e0014021d0b,,,7,,,2017-07-31T19:59:37.000000Z,,0.0
164,,597f8c2efb393e0014021d0f,,,7,,,2017-07-31T19:59:41.000000Z,270.0,
165,,597f8e74fb393e0014021e4f,,,7,,96.6,2017-07-31T20:09:22.000000Z,,
166,,597f8e78fb393e0014021e54,26.5,,7,,,2017-07-31T20:09:26.000000Z,,
167,1010.0,597f8e7bfb393e0014021e59,,,7,,,2017-07-31T20:09:30.000000Z,,
168,,597f8e7ffb393e0014021e61,,,7,,,2017-07-31T20:09:34.000000Z,,0.0
169,,597f8e83fb393e0014021e67,,,7,,,2017-07-31T20:09:37.000000Z,270.0,
170,,597f90cdfb393e0014021fb0,,,7,,97.0,2017-07-31T20:19:22.000000Z,,
171,,597f90d3fb393e0014021fba,26.4,,7,,,2017-07-31T20:19:28.000000Z,,
172,1010.0,597f90d9fb393e0014021fc4,,,7,,,2017-07-31T20:19:33.000000Z,,
173,,597f90defb393e0014021fca,,,7,,,2017-07-31T20:19:39.000000Z,,0.0
174,,597f90e4fb393e0014021fcf,,,7,,,2017-07-31T20:19:45.000000Z,270.0,
175,,597f9325fb393e0014022126,,,7,,96.7,2017-07-31T20:29:22.000000Z,,
176,,597f932bfb393e0014022133,26.5,,7,,,2017-07-31T20:29:28.000000Z,,
177,1010.0,597f9330fb393e001402213a,,,7,,,2017-07-31T20:29:34.000000Z,,
178,,597f9335fb393e0014022147,,,7,,,2017-07-31T20:29:40.000000Z,,0.0
179,,597f9339fb393e001402214f,,,7,,,2017-07-31T20:29:43.000000Z,270.0,
180,,597f933cfb393e0014022154,,,7,0.0,,2017-07-31T20:29:47.000000Z,,
181,,597f9341fb393e0014022160,,,7,,,2017-07-31T20:29:51.000000Z,,
182,,597f957bfb393e00140222a8,,,7,,95.9,2017-07-31T20:39:22.000000Z,,
183,,597f957ffb393e00140222aa,26.8,,7,,,2017-07-31T20:39:26.000000Z,,
184,1008.0,597f9584fb393e00140222b0,,,7,,,2017-07-31T20:39:30.000000Z,,
185,,597f9587fb393e00140222b2,,5.0,7,,,2017-07-31T20:39:34.000000Z,,
186,,597f958bfb393e00140222b4,,,7,,,2017-07-31T20:39:38.000000Z,,0.0
187,,597f958ffb393e00140222b8,,,7,,,2017-07-31T20:39:41.000000Z,270.0,
188,,597f97d4fb393e001402243b,,,7,,96.4,2017-07-31T20:49:22.000000Z,,
189,,597f97d8fb393e0014022442,26.6,,7,,,2017-07-31T20:49:26.000000Z,,
